ID,Father,Mother
Teodor,Jellem,Lilla
Tas,Huba,Kala
Truffel,Hernad,Nutella
Talan,Felix,Nefelejcs
Tihany,Huba,Helka
Thunder,Jellem,Felho
Tade,Fsoos,Mazsola
Tahani,Igar,Kikerics
Taltos,Huba,Kincso
Tabasco,Geza,Piroska
Tacco,Hajmas,Lenke
Turul,Farkas,Flora
Tauriel,Kanya,Kecses
Ujjongo,Koppany,Pajzsika
Unikornis,Legenda,Nefelejcs
Uccu,Jellem,Arka
Umentha,Leander,Mentha
Ubi,Vinter,Jenke
Urfi,Jellem,Emo
Umule,Inas,Mule
Urom,Inas,Malyva
Uborka,Jusztus,Narancs
Ultra,Igar,Leka
Uhu,Igar,Gerle
Uliszesz,Igar,Lidia
Ugri,Kende,Rezzent
Urge,Hajmas,Hargita
Unnep,Kalandor,Roxane
Ufo,Geza,Ofelia
Ulla,Huba,Helena
Urca,Jusztus,Nike
Ural,Inas,Odera
Urzon,Jos,Liliom
Ugar,Hajmas,Lenke
Ulanbator,Magnas,Juhar
Uadzset,Janko,Hanga
Utem,Kalandor,Roma
Ubul,Jos,Rosalinde
Ulaszlo,Jellem,Lilla
Utopia,Leander,Odett
Ude,Kope,Nemes
Uzsi,Fsoos,Mazsola
Upupa,Inas,Mirella
Unisz,Jusztus,Narcisz
Uno,Leander,Ozike
Ukisasszony,Magnas,Kisasszony
Unka,Kerecsen,Pafrany
Ursus,Farkas,Lelle
Ursula,Inas,Derce
Usanka,Jos,Epona
Udvoske,Kond,Imola
Ugocsa,Huba,Kala
Ugyes,Huba,Helka
Ugur,Legenda,Lohere
Uriel,Kanya,Kecses
Ulti,Kanya,Joghurt
Uzonka,Jusztus,Noemi
Ustokos,Jellem,Felho
Urania,Vinter,Luca
Ugrandos,Vinter,Illego
Vitrag,Koppany,Pajzsika
Vagany,Inas,Nunuke
Vili,Jusztus,Nokedli
Vadoc,Jellem,Emo
Vinyek,Huba,Melissza
Vermes,Jellem,Palma
Vanda,Leander,Panda
Valentina,Jos,Rendetlen
Vidra,Hajmas,Lenke
Vandor,Igar,Lidia
Violetta,Huba,Kokeny
Virgonc,Vinter,Jenke
Vihar,Igar,Leka
Vorgona,Magnas,Orgona
Valiosa,Inas,Kincso
Varazs,Leander,Odett
Voda,Leander,Oda
Verepes,Leander,Repes
Varis,Kanya,Iszalag
Vulkan,Jusztus,Nike
Vicus,Leander,Panka
Vaj,Kanya,Joghurt
Vladimir,Inas,Odera
Vitez,Lantos,Piroska
Wolf,Farkas,Lelle
Viking,Nemo,Nora
Vojtina,Levente,Rhea
Vitis,Fsoos,Mazsola
Voice,Jakab,Jazmin
Vesta,Leander,Roma
Venusz,Huba,Helena
Vanilia,Jusztus,Malna
Villo,Huba,Kala
Volfram,Vinter,Illego
Vas,Koppany,Provence
Vmentha,Leander,Mentha
Ztruffel,Nemo,Truffel
Zanza,Irha,Ofelia
Zizi,Huba,Seramis
Zuzmara,Levedi,Noci
Zelma,Vinter,Luca
Zanot,Jos,Rendetlen
Zlilla,Lantos,Lilla
Zoe,Hollo,Emese
Zpalma,Jellem,Palma
Zara,Farkas,Lelle
Zengo,Vinter,Jenke
Zebra,Hajmas,Epona
Zohan,Marvany,Ohara
Zimanko,Kond,Imola
Zseneroz,Nemo,Nemes
Zserbo,Nemo,Nutella
Zugo,Nemo,Ronni
Zsurlo,Marrakesh,Pajzsika
Zsezse,Igar,Lidia
Zozo,Hollo,Rezzent
Zente,Nobel,Lenke
Zordon,Inas,Remek
Zarandok,Inas,Mirella
Zemo,Jellem,Emo
Zapor,Jellem,Felho
Zselyke,Jos,Rosalinde
Zerge,Leander,Ozike
Zmalyva,Inas,Malyva
Zamat,Fsoos,Mazsola
Zoira,Igar,Leka
Zsom,Hajmas,Som
Zulejka,Huba,Melissza
Zizeg,Leander,Repes
Zsoka,Morgo,Juhar
Zeva,Jusztus,Malna
Zeusz,Huba,Helena
Zenobia,Kanya,Kecses
Zeller,Jusztus,Narancs
Zsalya,Leander,Mentha
Zenit,Oszi,Szazszorszep
Zorka,Orpheus,Olivia
Ztavasz,Orpheus,Tavasz
Zsebi,Nemo,Flora
Agyas,Orpheus,Lanyka
Adam,Marvany,Samira
Atus,Marvany,Rozmaring
Artur,Inas,Odera
Avicii,Marrakesh,Pajzsika
Anna,Irha,Ofelia
Alma,Kitan,Primula
Arany,Fsoos,Tamariska
Aragorn,Nobel,Roxane
Trilla,Felix,Lepke
Andersen,Marvany,Ohara
Alexander,Igar,Mimoza
Artemisia,Koppany,Orgona
Angyal,Paratlan,Sas
Akela,Irha,Tristan
Arcana,Lantos,Piroska
Aladar,Hollo,Rezzent
Alkony,Vinter,Luca
Atacco,Levedi,Unikornis
Alehandro,Jos,Rosalinde
Achilleus,Marrakesh,Thetis
Asszir,Orkan,Ursus
Ajandek,Vinter,Illego
Afonya,Parazs,Narancs
Akac,Jusztus,Jegenye
Ananasz,Levente,Orhidea
Aslan,Leander,Repes
Andromeda,Paratlan,Nunuke
Arabella,Orpheus,Jenke
Aseramis,Lazado,Seramis
Aloe,Levente,Rhea
Aysa,Huba,Kala
Almond,Nemo,Nutella
Abigel,Levente,Saci
Alia,Igar,Lidia
Antilop,Leander,Ozike
Apollo,Jusztus,Nike
Arab,Kerecsen,Roma
Azur,Kerecsen,Greta
